symbol,name,sector_top,sector_top_weight_pct,sector_trust,bucket,reasons
CMDT,"PIMCO Commodity Strategy Active Exchange-Traded Fund","Financial Services",100.00,0.2,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY|FS_BUT_COMMODITY"
COHX,"Tradr 2X Long COHR Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
COIW,"Roundhill Coin Weeklypay ETF","Financial Services",100.00,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
COM,"Direxion Auspice Broad Commodity Strategy ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
COMB,"GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
CONI,"GraniteShares Short Coin ETF","Financial Services",100.00,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
CONL,"GraniteShares 2x Long Coin ETF","Financial Services",100.00,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
CORD,"T-REX 2X Inverse CRWV Daily Target ETF","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
COTG,"Leverage Shares 2X Long COST Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
COZX,"Tradr 2X Long Core Scientific Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CPER,"United States Copper Index Fund","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
CRCD,"T-REX 2X Inverse Circle Internet Group Daily Target ETF","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
CRCG,"Leverage Shares 2X Long CRCL Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CRCO,"YieldMax Circle Internet Group Inc. Option Income Strategy ETF","",,0.3,DATA_MISSING,"OPTIONS_OVERLAY|NO_SECTOR_DATA"
CRDU,"Tradr 2X Long CRDO Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CRMG,"Leverage Shares 2X CRMG Fund","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CRMU,"Leverage Shares 2x CRMU ETP","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CSCL,"Direxion Daily CSCO Bull 2X ETF","Technology",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
CSEX,"Tradr 2X Long CLS Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
CURE,"Direxion Daily Healthcare Bull 3X Shares","Healthcare",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
CWEB,"Direxion Daily CSI China Internet Index Bull 2X Shares","Communication Services",41.68,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
CWVX,"Tradr 2X Long CRWV Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
DAPP,"VanEck Digital Transformation ETF","Financial Services",62.83,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
DBB,"Invesco DB Base Metals Fund","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
DBE,"Invesco DB Energy Fund","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
DBO,"Invesco DB Oil Fund","",,0.35,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY"
DCMB,"DoubleLine ETF Trust DoubleLine Commercial Real Estate ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
DCRE,"DoubleLine Commercial Real Estate ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
DDM,"ProShares Ultra Dow30","Financial Services",27.26,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
DFEN,"Direxion Daily Aerospace & Defense Bull 3X Shares","Industrial",100.00,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
DIG,"ProShares Ultra Energy ETF","Energy",100.00,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
DJP,"iPath Bloomberg Commodity Index Total Return ETN","",,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
DJTU,"T-Rex 2x Long DJT Daily Target ETF","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
DLLL,"GraniteShares 2X Long Dell ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
DOG,"ProShares Short Dow30","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
DPST,"Direxion Daily Regional Banks Bull 3X Shares","Financial Services",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
DRIP,"Direxion Daily S&P Oil & Gas Exploration & Production Bear 2X Shares","Consumer Cyclical",0.00,0.4,NON_STANDARD,"NON_STANDARD_INVERSE"
DRN,"Direxion Daily Real Estate Bull 3X Shares","Real Estate",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
DRV,"Direxion Daily Real Estate Bear 3X Shares","Energy",0.00,0.4,NON_STANDARD,"NON_STANDARD_INVERSE"
DUG,"ProShares UltraShort Energy","Consumer Cyclical",0.00,0.4,NON_STANDARD,"NON_STANDARD_INVERSE"
DUSL,"Direxion Daily Industrials Bull 3X Shares","Industrial",93.84,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
DUST,"Direxion Daily Gold Miners Index Bull 2X Shares ETF","Energy",0.00,0.4,NON_STANDARD,"NON_STANDARD_INVERSE"
DXD,"ProShares UltraShort Dow30","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
EDC,"Direxion Daily MSCI Emerging Markets Bull 3X Shares","Technology",32.68,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
EDZ,"Direxion Daily MSCI Emerging Markets Bear 3X Shares","Financial Services",26.21,0.4,NON_STANDARD,"NON_STANDARD_INVERSE"
EOSU,"T-REX 2X Long EOSE Daily Target ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
ERX,"Direxion Daily Energy Bull 2X Shares","Energy",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
ERY,"Direxion Daily Energy Bear 2X Shares","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
ETH,"Grayscale Ethereum Mini Trust ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
ETHA,"iShares Ethereum Trust","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
ETHT,"ProShares Ultra Ether ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
ETHU,"2X Ether ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
ETHV,"VanEck Ethereum ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
EUM,"ProShares Short MSCI Emerging Markets ETF","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
EURL,"Direxion Daily FTSE Europe Bull 3X Shares","Financial Services",23.48,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
EVMO,"Eaton Vance Mortgage Opportunities ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
EVSM,"Eaton Vance Short Duration Municipal Opportunities Fund","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
EVTR,"Eaton Vance Total Return Fund","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
EZBC,"Franklin Bitcoin ETF","Financial Services",100.00,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
FAS,"Direxion Daily Financial Bull 3x Shares","Financial Services",97.99,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
FAZ,"Direxion Daily Financial Bear 3x Shares","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
FBTC,"Fidelity Wise Origin Bitcoin Index Fund","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
FDIG,"Fidelity Crypto Industry & Digital Payments ETF","Financial Services",56.83,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
FETH,"Fidelity Ethereum Fund","Financial Services",100.00,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
FFLG,"Fidelity Fund Large Cap Growth ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
FSOL,"Fidelity Solana Fund ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
FTGC,"First Trust Global Tactical Commodity Strategy Fund","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
FUTG,"Leverage Shares 2x Long FUTU Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
FXB,"Invesco CurrencyShares British Pound Sterling Trust","",,0.35,ALT_ASSET_FX,"ALT_ASSET_FX"
FXE,"Invesco CurrencyShares Euro Trust","",,0.35,ALT_ASSET_FX,"ALT_ASSET_FX"
FXF,"Invesco CurrencyShares Swiss Franc Trust","",,0.35,ALT_ASSET_FX,"ALT_ASSET_FX"
FXY,"Invesco CurrencyShares Japanese Yen Trust","",,0.35,ALT_ASSET_FX,"ALT_ASSET_FX"
JDST,"Direxion Daily Junior Gold Miners Index Bear 2X Shares","Healthcare",0.00,0.4,NON_STANDARD,"NON_STANDARD_INVERSE"
JEPI,"JPMorgan Equity Premium Income Fund","Technology",19.72,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
JNUG,"Direxion Daily Junior Gold Miners Index Bull 2X Shares","Basic Materials",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
JOBX,"Tradr 2X Long Joby Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
