symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"BLZE/USD","Bluzelle","US Dollar","Gate.io","gate.io","0.0143","2026-02-09","-2.99","-7.93","-13.61","-34.25","-67.20","-4.99","-62.73","146.90","148.83","-1.87","-14.40","14.16","45.43","false","false","425","1.000","true","true","simple","calendar","true","false"
"BNB/EUR","Binance Coin","Euro","Binance","binance","535.7400","2026-02-09","-1.09","-18.31","-30.43","-37.89","-10.40","-27.05","-21.61","121.22","72.81","-5.90","-8.68","8.42","37.27","true","false","425","1.000","true","true","simple","calendar","true","false"
"BNB/USD","Binance Coin","US Dollar","Binance","binance","637.5500","2026-02-09","-0.37","-17.62","-28.91","-36.03","3.53","-26.24","-20.19","123.31","73.29","-5.49","-9.02","8.47","36.16","true","false","425","1.000","true","true","simple","calendar","true","false"
"BNT/USD","Bancor","US Dollar","OKEx","okx","0.3028","2026-02-09","0.87","-9.07","-29.02","-45.03","-42.49","-26.42","-62.49","160.33","91.02","-3.98","-7.14","8.02","49.11","true","false","425","1.000","true","true","simple","calendar","true","false"
"BOME/USDT","BOOK OF MEME","US Dollar","Binance","binance","0.0004","2026-02-09","-0.99","-17.11","-43.46","-57.73","","-32.32","-79.70","186.33","126.97","-4.59","-14.70","14.11","57.06","true","false","261","1.000","true","false","simple","calendar","true","false"
"BONK/USDT","Bonk","US Dollar","Binance","binance","0.0000","2026-02-09","-0.48","-13.61","-42.51","-51.93","","-24.24","-77.21","150.26","103.56","-5.61","-10.57","11.17","51.57","true","false","261","1.000","true","false","simple","calendar","true","false"
"BRETT/USD","Brett","US Dollar","Bybit","bybit","0.0075","2026-02-09","-1.71","-23.41","-57.97","-68.51","-83.54","-49.97","-87.86","231.45","139.87","-6.74","-15.07","16.67","68.14","true","false","425","1.000","true","true","simple","calendar","true","false"
"BSV/USD","Bitcoin SV","US Dollar","Huobi","huobi","14.2563","2026-02-09","1.90","-9.45","-27.16","-43.14","-63.54","-19.46","-47.73","186.06","95.98","-3.44","-7.25","10.93","47.09","true","false","425","1.000","true","true","simple","calendar","true","false"
"BTC/EUR","Bitcoin","Euro","Binance","binance","59254.5400","2026-02-09","-0.43","-11.19","-23.87","-34.64","-36.71","-21.50","-40.53","146.80","79.74","-3.77","-6.23","7.83","39.15","true","false","425","1.000","true","true","simple","calendar","true","false"
"BTC/USD","Bitcoin","US Dollar","Binance","binance","70358.8500","2026-02-09","0.04","-10.64","-22.38","-32.81","-27.06","-20.80","-39.59","148.88","79.70","-3.46","-6.55","7.67","38.11","true","false","425","1.000","true","true","simple","calendar","true","false"
"BTS/USD","BitShares","US Dollar","Gate.io","gate.io","0.0011","2026-02-09","2.45","-1.26","-12.99","-0.02","-6.53","-4.70","-7.98","58.50","37.92","-4.65","-3.39","6.31","18.90","false","false","425","1.000","true","true","simple","calendar","true","false"
