symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"AVAX/USD","Avalanche","US Dollar","Binance","binance","9.4600","2026-02-14","3.50","2.49","-35.21","-37.48","-64.15","-30.39","-60.03","51.82","87.08","-4.85","-8.53","7.45","44.61","true","false","425","1.000","true","true","simple","calendar","true","false"
"AXL/USD","Axelar","US Dollar","Binance","binance","0.0635","2026-02-14","3.08","7.45","-20.03","-55.47","-87.18","-12.05","-81.36","47.41","128.01","-0.91","-12.90","10.83","61.54","true","false","425","1.000","true","true","simple","calendar","true","false"
"AXS/EUR","Axie Infinity","Euro","Kraken","kraken","1.2500","2026-02-14","5.84","11.81","19.05","16.28","-70.91","68.92","-38.67","146.53","284.66","2.52","-15.11","12.99","56.71","true","false","425","1.000","true","true","simple","calendar","true","false"
"AXS/USD","Axie Infinity","US Dollar","Binance","binance","1.4780","2026-02-14","4.82","11.38","20.75","18.15","-67.50","69.69","-37.79","161.73","285.74","2.56","-14.88","13.83","56.95","true","false","425","1.000","true","true","simple","calendar","true","false"
"BADGER/USD","Badger DAO","US Dollar","Coinbase Pro","coinbase","0.3836","2026-02-14","0.31","0.18","-33.86","-40.06","-89.16","-28.96","-62.76","43.89","91.37","-4.79","-7.89","8.46","41.28","true","false","425","1.000","true","true","simple","calendar","true","false"
"BAL/USD","Balancer","US Dollar","Coinbase Pro","coinbase","0.1514","2026-02-14","0.33","-12.28","-73.17","-79.30","-92.58","-74.67","-88.92","44.08","155.31","-8.99","-19.27","23.92","79.94","true","false","425","1.000","true","true","simple","calendar","true","false"
"BAND/USD","Band Protocol","US Dollar","Binance","binance","0.2580","2026-02-14","4.88","2.38","-28.13","-37.83","-74.20","-24.56","-60.79","65.52","106.98","-2.59","-9.06","8.42","54.68","true","false","425","1.000","true","true","simple","calendar","true","false"
"BAT/EUR","Basic Attention Token","Euro","Kraken","kraken","0.1139","2026-02-14","2.86","9.03","-34.84","-19.76","-37.06","-39.36","-10.67","83.70","102.42","-3.94","-10.63","11.58","60.82","true","false","425","1.000","true","true","simple","calendar","true","false"
"BAT/USD","Basic Attention Token","US Dollar","Binance","binance","0.1344","2026-02-14","2.28","9.62","-34.25","-17.85","-29.11","-39.51","-9.31","78.19","107.54","-3.50","-10.82","8.31","61.37","true","false","425","1.000","true","true","simple","calendar","true","false"
"BCDN/USD","BlockCDN","US Dollar","Gate.io","gate.io","","","","","","","","","","","","","","","","false","","0","0","false","false","simple","calendar","true","false"
"BCH/EUR","Bitcoin Cash","Euro","Binance","binance","475.9000","2026-02-14","-0.31","6.90","-7.07","15.54","46.75","-5.50","-6.70","100.09","103.14","-0.37","-7.98","7.04","31.39","true","false","425","1.000","true","true","simple","calendar","true","false"
"BCH/USD","Bitcoin Cash","US Dollar","Binance","binance","563.7000","2026-02-14","-0.04","7.35","-5.64","17.54","65.07","-4.97","-4.97","95.79","100.19","-0.11","-8.26","7.33","30.65","true","false","425","1.000","true","true","simple","calendar","true","false"
"BLAST/USD","Blast","US Dollar","Bybit","bybit","0.0006","2026-02-14","1.52","4.42","-28.41","-44.48","-85.32","-14.33","-79.05","70.76","104.96","-2.57","-12.07","11.32","51.24","true","false","425","1.000","true","true","simple","calendar","true","false"
"BLOK/USD","Bloktopia","US Dollar","KuCoin","kucoin","0.0000","2026-01-30","-24.72","-74.33","-92.17","-95.47","-98.66","-91.85","-97.16","271.63","266.06","-9.75","-27.74","91.58","96.33","true","true","425","1.000","true","true","simple","calendar","true","false"
"BLUR/USD","Blur","US Dollar","Binance","binance","0.0222","2026-02-14","2.40","6.01","-42.45","-46.63","-84.54","-24.57","-72.56","72.30","112.58","-3.97","-12.27","8.79","54.21","true","false","425","1.000","true","true","simple","calendar","true","false"
"BLZE/USD","Bluzelle","US Dollar","Gate.io","gate.io","0.0141","2026-02-14","-1.39","2.32","-21.18","-26.89","-65.78","-5.92","-61.97","80.20","148.69","-1.32","-14.40","9.97","45.43","false","false","425","1.000","true","true","simple","calendar","true","false"
"BNB/EUR","Binance Coin","Euro","Binance","binance","533.2200","2026-02-14","2.26","-2.85","-34.54","-32.24","-15.27","-27.39","-26.13","33.56","71.61","-6.56","-8.68","7.45","37.36","true","false","425","1.000","true","true","simple","calendar","true","false"
"BNB/USD","Binance Coin","US Dollar","Binance","binance","631.9400","2026-02-14","2.10","-2.33","-33.37","-30.95","-4.21","-26.89","-24.81","32.28","72.19","-6.16","-9.02","7.35","35.89","true","false","425","1.000","true","true","simple","calendar","true","false"
"BNT/USD","Bancor","US Dollar","OKEx","okx","0.2949","2026-02-14","1.06","-2.54","-33.98","-38.38","-45.48","-28.34","-62.27","56.89","90.33","-4.96","-7.14","7.29","45.81","true","false","425","1.000","true","true","simple","calendar","true","false"
"BOME/USDT","BOOK OF MEME","US Dollar","Binance","binance","0.0004","2026-02-14","9.02","4.44","-36.32","-44.54","","-24.75","-76.07","95.26","127.54","-3.25","-14.70","9.91","55.35","true","false","266","1.000","true","false","simple","calendar","true","false"
"BONK/USDT","Bonk","US Dollar","Binance","binance","0.0000","2026-02-14","11.15","8.05","-36.72","-36.66","","-14.98","-70.70","100.10","103.22","-4.36","-10.57","8.64","51.57","true","false","266","1.000","true","false","simple","calendar","true","false"
"BRETT/USD","Brett","US Dollar","Bybit","bybit","0.0083","2026-02-14","6.15","6.29","-54.85","-55.91","-82.14","-44.47","-85.13","104.71","142.65","-5.31","-15.07","12.08","67.18","true","false","425","1.000","true","true","simple","calendar","true","false"
"BSV/USD","Bitcoin SV","US Dollar","Huobi","huobi","17.1410","2026-02-14","2.47","22.25","-14.32","-23.83","-57.22","-3.16","-38.21","89.20","107.08","-1.17","-7.25","10.15","44.88","true","false","425","1.000","true","true","simple","calendar","true","false"
