ticker,fiscal_date,excluded_year,excluded_year_reason,shares_outstanding,shares_normalized,market_cap,net_income,total_equity,total_debt,free_cash_flow,operating_income,roe,roic,de_ratio,fcf_yield,pe_ratio,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,buffett_score,buffett_score_no_valuation,criteria_total
HD,2024-01-31,False,,999000000.0,False,356742909990.0,15143000000.0,1044000000.0,52243000000.0,17946000000.0,21689000000.0,1450.478927203065,30.9352512354574,50.0411877394636,5.030513430667214,23.55827180809615,1272.7746748691382,251.31176374201013,35.08104753210533,4.073224505135526,83,80,6
HD,2025-01-31,False,,990000000.0,False,410355000000.0,14806000000.0,6640000000.0,62290000000.0,16325000000.0,21526000000.0,222.98192771084337,23.826309310502783,9.381024096385541,3.978262723739202,27.715453194650816,922.8437591497066,631.6120158976394,29.997284685626383,5.759561602004695,33,40,6
HD,2026-01-31,False,,993000000.0,False,371967870000.0,14156000000.0,12813000000.0,65350000000.0,12646000000.0,20890000000.0,110.48154218371965,20.338463204203634,5.100288769218762,3.399756005807706,26.276340067815767,594.6474656992093,743.3032369503089,25.033341250054605,5.400525319092064,33,40,6
HIG,2020-12-31,False,,358300000.0,False,17176902000.0,1737000000.0,18556000000.0,4352000000.0,3757000000.0,2356000000.0,9.360853632248329,8.426593988752384,0.23453330459150679,21.872395848797414,9.888832469775474,9.360853632248329,,8.426593988752384,,67,60,6
HIG,2021-12-31,False,,334925984.0,False,23150084014.08,2371000000.0,17843000000.0,4944000000.0,3960000000.0,3139000000.0,13.288124194361936,11.243190794763478,0.27708345009247326,17.105769454622745,9.763848171269506,11.324488913305132,2.776999646024836,9.834892391757931,1.991634701398816,67,60,6
HIG,2022-12-31,False,,315111248.0,False,23894885935.84,1819000000.0,13676000000.0,4357000000.0,3833000000.0,2475000000.0,13.3006727113191,11.036905372864162,0.3185873062298918,16.041089337241292,13.136275940538757,11.983216845976456,2.2710418280725997,10.235563385460008,1.5700051361351033,83,80,6
HIG,2023-12-31,False,,307100000.0,False,24684698000.0,2504000000.0,15327000000.0,4362000000.0,4005000000.0,3287000000.0,16.33718274939649,13.537331936482774,0.2845958113133686,16.224626284672393,9.858106230031948,14.308659885025842,1.756763536955196,11.939142701370137,1.387910314913928,83,80,6
HIG,2024-12-31,False,,293900000.0,False,32114453000.0,3111000000.0,16447000000.0,4366000000.0,5764000000.0,4048000000.0,18.915303702802944,15.720194663694025,0.2654587462759166,17.94830508244995,10.322871423979429,16.18438638783951,2.810432411340202,13.431477324346988,2.3434384021312007,100,100,6
HIG,2025-12-31,False,,282400000.0,False,39208416000.0,3836000000.0,18979000000.0,4371000000.0,5753000000.0,4959000000.0,20.211813056536172,17.11507746567578,0.2303071816217925,14.672870232758193,10.22117205422315,18.4880998362452,1.9723253691905782,15.457534688617526,1.8032771458640302,100,100,6
HPE,2020-10-31,False,,1294000000.0,False,11180160000.0,-322000000.0,16096000000.0,17027000000.0,-143000000.0,1592000000.0,-2.000497017892644,,1.0578404572564613,-1.2790514625908753,,-2.000497017892644,,,,33,33,3
